id,title,artist,album,image,url,duration,year,genre
AN1zv7KP,Anuvanuvuu,Sunny M.R.Arijit Singh,Om Bheem Bush,https://c.saavncdn.com/000/Om-Bheem-Bush-Telugu-2024-20240401231417-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,211,2024,
ncBHw-c5,Suttamla Soosi,Anurag KulkarniYuvan Shankar Raja,Gangs Of Godavari,https://c.saavncdn.com/000/Gangs-Of-Godavari-Telugu-2024-20240530193901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,202,2024,
O_iU1zto,Ola Olaala Ala,Ranina ReddyN.C. Karunya,Orange,https://c.saavncdn.com/105/Orange-Telugu-2006-20210624180302-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,334,2010,
PiXTKfRo,Radhika,Ram Miriyala,Tillu Square,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,188,2023,
A7AAUlh8,Nijame Ne Chebutunna,Sid Sriram,Ooru Peru Bhairavakona,https://c.saavncdn.com/000/Ooru-Peru-Bhairavakona-Telugu-2023-20240215171825-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,214,2023,
WEQu2WTS,Oka Maru Kalisina Andam,KarthikHarris Jayaraj,Ghajini,https://c.saavncdn.com/871/Ghajini-2005-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,353,2005,
U7q200WO,College Papa,Bheems CeciroleoVaramKeerthana SharmaGopika UdayanRam Nithin,MAD,https://c.saavncdn.com/000/MAD-Telugu-2023-20231004152950-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,245,2023,
Z19qWKz9,O Rendu Prema Meghaalila (First Love Song),Vijai BulganinSreerama Chandra,Baby,https://c.saavncdn.com/732/Baby-Telugu-2023-20230710131123-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,314,2023,
VlZYRcfQ,Mastaaru Mastaaru,G.V. Prakash KumarShweta Mohan,Sir,https://c.saavncdn.com/blob/026/Sir-Telugu-2022-20230211174608-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,225,2022,
qlFP7Lvm,Jalsa Jalsa,Baba SehgalRita Thyagarajan,Jalsa,https://c.saavncdn.com/903/Jalsa-2008-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,259,2008,
gYM27Q-D,Vellake,Bharatt-SaurabhYazin NizarAnirudh Ravichander,Vellake,https://c.saavncdn.com/040/Vellake-Telugu-2023-20230510195047-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,217,2023,
1S6VGbCH,Chamka Chamka,Mani SharmaRanjithGeetha Madhuri,Chirutha,https://c.saavncdn.com/959/Chirutha-2007-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,308,2007,
bPFI_Oil,Oororo Yogi,KarthikSunitha Upadrasta,Yogi,https://c.saavncdn.com/630/Yogi-Telugu-2006-20190723074525-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,277,2006,
#NAME?,Mellaga,Devi Sri PrasadS.P. CharanSumangali,Varsham,https://c.saavncdn.com/449/Varsham-2003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,321,2003,
kBlrtHYZ,Maha Muddu,Mani SharmaShreya GhoshalKarthik,Jai Chiranjeeva,https://c.saavncdn.com/627/Jai-Chiranjeeva-2005-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,306,2005,
54S2cA8W,Chiguraku Chatu,Mani SharmaSujatha MohanS.P. Charan,Gudumba Shankar,https://c.saavncdn.com/495/Gudumba-Shankar-2004-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,311,2004,
ARuXdxyk,Kurchi Madathapetti,Mahesh BabuThaman SSri KrishnaSahithi Chaganti,Guntur Kaaram,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,216,2023,
DK808b4x,Kalalo Kooda,Tanishk BagchiSid SriramVaishnavi Kovvuri,Liger (Telugu) (Original Motion Picture Soundtrack),https://c.saavncdn.com/448/Liger-Telugu-Original-Motion-Picture-Soundtrack-Telugu-2022-20220826184921-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,246,2022,
aVrpjw_7,Ticket Eh Konakunda,Ram Miriyala,Tillu Square,https://c.saavncdn.com/000/Tillu-Square-Telugu-2023-20240405190047-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,189,2023,
LLF5ZxnQ,Chiru Chiru,Yuvanshankar RajaHaricharanSagar Desai,Awaara,https://c.saavncdn.com/612/Awaara-Telugu-2013-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,286,2010,
yU_Zx3mf,Dum Masala,Thaman SSanjith Hegde,Guntur Kaaram,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,206,2023,
yAr5E8FZ,Konte Chooputho,Belly RajDeepaJames Vasanthan,Ananthapuram 1980,https://c.saavncdn.com/236/Ananthapuram-1980-Telugu-2013-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,326,2013,
1gugl0jt,Po Ve Po - The Pain Of Love,Anirudh RavichanderMohit Chauhan,3 (Telugu),https://c.saavncdn.com/244/3-Telugu-2012-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,255,2012,
egqN9nKL,Adhento Gaani Vunnapaatuga,Anirudh Ravichander,Jersey,https://c.saavncdn.com/623/Jersey-Telugu-2019-20190427102305-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,237,2019,
26ZdsX1e,Mr. Perfect,Rita ThyagarajanDevi Sri PrasadBaba Sehgal,Aarya - 2,https://c.saavncdn.com/298/Aarya-2-Telugu-2009-20190822135933-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,276,2009,
BgqPmnlD,Apudo Ipudo,Devi Sri PrasadSiddharth,Bommarillu,https://c.saavncdn.com/843/Bommarillu-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,244,2000,
U8I_Y6YR,Nuvvu Navvukuntu,Kapil Kapilan,MAD,https://c.saavncdn.com/000/MAD-Telugu-2023-20231004152950-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,204,2023,
2CDYPNKQ,Alloneredu Kalla,Mani SharmaK. S. ChithraParthasarathy,Seenu,https://c.saavncdn.com/406/Seenu-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,278,2000,
cVQR6Pf7,Chinnaga Chinnaga,Mani SharmaK. S. ChithraHariharan,Tagore,https://c.saavncdn.com/769/Tagore-2003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,325,2003,
QRqVZRYe,Life Of Ram,Pradeep Kumar,Jaanu,https://c.saavncdn.com/568/Jaanu-Telugu-2020-20200201183214-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,364,2020,
bJ9zKoGH,Ismart Title Song,Anurag Kulkarni,Ismart Shankar,https://c.saavncdn.com/213/Ismart-Shankar-Telugu-2019-20190711134004-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,252,2019,
4W-eQraL,Niddura Potunna,KotiShankar Mahadevan,Nuvve Nuvve,https://c.saavncdn.com/312/Nuvve-Nuvve-2002-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,273,2002,
85HwCRYA,Nindu Punammi Vela,Suman BadanakalSrinidhi Nerella,Nindu Punammi Vela,https://c.saavncdn.com/466/Nindu-Punammi-Vela-Telugu-2022-20220823135133-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,249,2022,
tYnQN1Rc,Sooseki (From &quot;Pushpa 2 The Rule&quot;),Shreya GhoshalDevi Sri PrasadChandrabose,Sooseki (From &quot;Pushpa 2 The Rule&quot;),https://c.saavncdn.com/597/Sooseki-From-Pushpa-2-The-Rule-Telugu-2024-20240528221003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,260,2024,
kehuVn2F,Maate Vinadhuga,Sid Sriram,Taxiwaala,https://c.saavncdn.com/761/Taxiwaala-Telugu-2018-20181123170326-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,275,2018,
2tSfxpxj,Vikram Title Track (Telugu),Anirudh RavichanderPrudhvi Chandra,Vikram Hitlist,https://c.saavncdn.com/666/Vikram-Hitlist-Telugu-2022-20220607175939-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,218,2022,
5OjdY4fM,Tillu Anna DJ Pedithe,Ram Miriyala,DJ Tillu,https://c.saavncdn.com/430/DJ-Tillu-Telugu-2022-20220210033850-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,183,2022,
6KCYJHd6,Nalupu,Thaman SRita ThyagarajanSuchith Santoshan,Kanchana,https://c.saavncdn.com/730/Kanchana-2011-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,294,2011,
yQcTqw6-,Fear Song (From &quot;Devara Part 1&quot;) - Telugu,Anirudh RavichanderRamajogayya Sastry,Fear Song (From &quot;Devara Part 1&quot;) - Telugu,https://c.saavncdn.com/368/Fear-Song-From-Devara-Part-1-Telugu-Telugu-2024-20240519131003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,195,2024,
K29POdbr,Kollagottey,Anirudh Ravichander,Remo (Telugu) [Original Motion Picture Soundtrack],https://c.saavncdn.com/342/Remo-Telugu-Original-Motion-Picture-Soundtrack--Telugu-2016-20210522202710-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,251,2016,
EB492TD0,Don'u Don'u Don'u,Anirudh RavichanderSooraj SanthoshSrimathumitha,Maas,https://c.saavncdn.com/431/Maas-Telugu-2016-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,197,2016,
DYh1AFst,Bhairava Anthem (From &quot;Kalki 2898 Ad&quot;) (Telugu),Diljit DosanjhDeepak BlueSanthosh Narayanan,Bhairava Anthem (From &quot;Kalki 2898 Ad&quot;) (Telugu),https://c.saavncdn.com/509/Bhairava-Anthem-From-Kalki-2898-Ad-Telugu-Telugu-2024-20240616063600-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,163,2024,
9N5Wxv_C,Niluvaddham,KarthikSumangali,Nuvvostanante Nenoddantana,https://c.saavncdn.com/347/Nuvvostanante-Nenoddantana-Telugu-2014-20181121-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,357,2014,
o5zkli63,Pilla Padesaave,Yuvanshankar RajaHaricharan,Love Today (Telugu) (Original Motion Picture Soundtrack),https://c.saavncdn.com/323/Love-Today-Telugu-Original-Motion-Picture-Soundtrack-Telugu-2022-20221121125710-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,237,2022,
T3up1tDy,Oye Raju Kannullo,Vandemataram SrinivasUdit NarayanUsha,Aayudham,https://c.saavncdn.com/265/Aayudham-2003-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,255,2003,
YQsucjrt,Theme Of Kalki (From &quot;Kalki 2898 AD&quot;) (Telugu),Chandra BoseKala BhairavaAnanthuGowtham Bharadwaj,Theme Of Kalki (From &quot;Kalki 2898 AD&quot;) (Telugu),https://c.saavncdn.com/627/Theme-Of-Kalki-From-Kalki-2898-AD-Telugu-Telugu-2024-20240625103649-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,189,2024,
sNLzthyX,Choopultho Guchi,Shankar Mahadevan,Idiot,https://c.saavncdn.com/100/Idiot-Telugu-2002-20200616185725-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,268,2002,
DIU1zeQb,Kannuladha - The Kiss Of Love,Anirudh RavichanderShruti HaasanDhanush,3 (Telugu),https://c.saavncdn.com/244/3-Telugu-2012-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,207,2012,
#NAME?,Ivala,Mani SharmaKKSunitha,Chirutha,https://c.saavncdn.com/959/Chirutha-2007-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,270,2007,
RbbH_Jja,Hoyna Hoyna,Anirudh RavichanderInno Genga,Gang Leader,https://c.saavncdn.com/663/Gang-Leader-Telugu-2019-20190905102749-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,276,2019,
CNi4GEJ7,Preminche Premava,A.R. RahmanShreya GhoshalNaresh Ayar,Nuvvu Nenu Prema,https://c.saavncdn.com/317/Nuvvu-Nenu-Prema-2006-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,355,2006,
o3OcwOLA,So So Ga,Sid Sriram,Manchi Rojulochaie,https://c.saavncdn.com/910/Manchi-Rojulochaie-Telugu-2021-20211101222240-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,207,2021,
ifNnMONq,Tella Tellani Cheera,Mani SharmaUdit NarayanSujatha Mohan,Deviputrudu,https://c.saavncdn.com/145/Deviputrudu-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,282,2000,
8OEhASSX,Amma Paata,Janhavi Yerram,Amma Paata,https://c.saavncdn.com/386/Amma-Paata-Telugu-2024-20240523132006-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,212,2024,
7u2YK08x,Oh Priya Priya,Anoop RubensAdnan SamiNithya Menen,Ishq,https://c.saavncdn.com/057/Ishq-Telugu-2012-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,261,2012,
059HTRVM,Manassa,Harris JayarajHaricharan,Munna,https://c.saavncdn.com/626/Munna-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,351,2007,
y8KZ97V5,Priyathama Priyathama,Chinmayi Sripaada,Majili,https://c.saavncdn.com/405/Majili-Telugu-2019-20190323231520-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,245,2019,
8P-s6Od-,Andhaala Nadhive,B. Ajaneesh LoknathChinmayi SripadaHaricharan,Kantara (Original Motion Picture Soundtrack - Telugu),https://c.saavncdn.com/857/Kantara-Original-Motion-Picture-Soundtrack-Telugu-Telugu-2022-20230903203705-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,281,2022,
IsD6Gim8,Cheppave Chirugali,Mani SharmaUdit NarayanSujatha Mohan,Okkadu,https://c.saavncdn.com/408/Okkadu-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,332,2000,
rKeYAu4z,Mallieswarivey,Jassie Gift,Yuvasena,https://c.saavncdn.com/672/Yuvasena-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,271,2004,
n9QhuVJK,Oy..Oy,SiddharthPrasanthini,Oy!,https://c.saavncdn.com/769/Oy-2009-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,283,2009,
Mm_PiKF2,Dheemthanana,Sid Sriram,Urvasivo Rakshasivo,https://c.saavncdn.com/000/Urvasivo-Rakshasivo-Telugu-2022-20221117231305-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,219,2022,
#NAME?,Naa Chupe Ninu,KotiK. S. ChithraShreeram LagooPrabhu,Nuvvu Naaku Nachchav,https://c.saavncdn.com/315/Nuvvu-Naaku-Nachchav-2001-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,254,2001,
R2hfhU31,Proud'se Single,Nakash AzizBheems Ceciroleo,MAD,https://c.saavncdn.com/000/MAD-Telugu-2023-20231004152950-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,196,2023,
1kmL_AVz,Neekosam Neekosam,S.P. BalasubrahmanyamK. S. Chithra,Preyasi Raave,https://c.saavncdn.com/229/Preyasi-Raave-Telugu-1999-20180702-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,326,1999,
_PC81vul,Hulala,Sweekar AgasthiSilvia AnishaPraveen Lakkaraju,Express Raja,https://c.saavncdn.com/842/Express-Raja-Telugu-2015-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,223,2015,
H6WVK96q,Manasu Maree,Amit TrivediShashaa TirupatiYazin Nizar,V,https://c.saavncdn.com/584/V-Telugu-2020-20200828173314-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,267,2020,
8Md53naR,Nee Kannu Neeli Samudram,Javed Ali,Uppena,https://c.saavncdn.com/587/Uppena-Telugu-2020-20210218155246-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,312,2020,
gEu9K8Fl,Pushpa Pushpa (From &quot;Pushpa 2 The Rule&quot;) - Telugu,Nakash AzizDeepakDevi Sri PrasadChandrabose,Pushpa Pushpa (From &quot;Pushpa 2 The Rule&quot;) - Telugu,https://c.saavncdn.com/601/Pushpa-Pushpa-From-Pushpa-2-The-Rule-Telugu-Telugu-2024-20240501161044-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,256,2024,
3xZG9VhM,Yemito,Haricharan,Andala Rakshasi,https://c.saavncdn.com/916/Andala-Rakshasi-Telugu-2012-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,269,2012,
c5jJL3zu,Cheliya Cheliya,Harris JayarajKKSuchitra,Gharshana (New),https://c.saavncdn.com/944/Gharshana-New-2004-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/15/audio_c8c8a73467.mp3?filename=fun-life-112188.mp3,321,2004,
0eqUIkMp,Uppenantha,Devi Sri PrasadKK,Aarya - 2,https://c.saavncdn.com/298/Aarya-2-Telugu-2009-20190822135933-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,327,2009,
xG2lASvi,Ammaye,Mani SharmaUdit NarayanKavita Krishnamurthy,Kushi,https://c.saavncdn.com/470/Kushi-2001-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,292,2001,
vbfvwR6K,Oh Sita Hey Rama,Vishal ChandrashekharS.P. CharanRamya Behara,Sita Ramam (Telugu) (Original Motion Picture Soundtrack),https://c.saavncdn.com/041/Sita-Ramam-Telugu-Original-Motion-Picture-Soundtrack-Telugu-2022-20220802140738-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,246,2022,
HhVqZlxu,Teliyade Teliyade,Sid SriramAditi Bhavaraju,Miles Of Love,https://c.saavncdn.com/000/Miles-Of-Love-Telugu-2020-20211030002701-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,245,2020,
EWdtn62A,Humma Humma,Ram Miriyala,Ooru Peru Bhairavakona,https://c.saavncdn.com/000/Ooru-Peru-Bhairavakona-Telugu-2023-20240215171825-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,189,2023,
gZsIAUmO,Samajavaragamana - Male,Sid Sriram,Ala Vaikunthapurramuloo,https://c.saavncdn.com/517/Ala-Vaikunthapurramuloo-Telugu-2019-20200116144338-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,219,2019,
qZ2nvD5g,Bullettu Bandi,Mohana Bhogaraju,Bullettu Bandi,https://c.saavncdn.com/009/Bullettu-Bandi-Telugu-2021-20210327120013-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/04/27/audio_6ebb6aaa24.mp3?filename=lofi-study-112191.mp3,282,2021,
8_Ys1u_U,Chirunama Thana Chirunama,Yazin NizarKareemulla,Ekkadiki Pothavu Chinnavada,https://c.saavncdn.com/534/Ekkadiki-Pothavu-Chinnavada1-Telugu-2016-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/01/18/audio_d0a13f69d2.mp3?filename=mountain-path-125573.mp3,226,2016,
TfW0bbt7,Nee Yadalo Naaku,Yuvanshankar RajaSagar Desai,Awaara,https://c.saavncdn.com/612/Awaara-Telugu-2013-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,294,2010,
UBfWIaEr,Bujji Theme (From &quot;Kalki 2898 AD&quot;),Japhna GoldSanthosh NarayananPriya Ragu,Bujji Theme (From &quot;Kalki 2898 AD&quot;),https://c.saavncdn.com/301/Bujji-Theme-From-Kalki-2898-AD-Telugu-2024-20240603073649-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,46,2024,
hIMaVuLz,Inkem Inkem Inkem Kaavaale,Sid Sriram,Geetha Govindam,https://c.saavncdn.com/237/Geetha-Govindam-Telugu-2018-20180921-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,266,2018,
nf7kvoQr,Sokuladi Sittammi,Sneha Katkuri,Sokuladi Sittammi,https://c.saavncdn.com/209/Sokuladi-Sittammi-Telugu-2024-20240209115442-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,255,2024,
aGWYcS5p,Reddu Reddu,KotiK. S. ChithraS.P. Balasubrahmanyam,Alluda Mazaka,https://c.saavncdn.com/055/Alluda-Mazaka-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,274,2000,
yKiJjEWO,Ippatikinka,Mani SharmaSuchitraMuralidar,Pokiri,https://c.saavncdn.com/082/Pokiri-2006-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,277,2006,
EX6JM7rQ,Prema O Premaa,Sid SriramHemambika,NGK (Telugu) (Original Motion Picture Soundtrack),https://c.saavncdn.com/538/NGK-Telugu--Telugu-2019-20190430104903-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/05/27/audio_1808fbf07a.mp3?filename=music-112905.mp3,270,2019,
3Pzypbvr,Mawaa Enthaina,Thaman SSri KrishnaRamachariRahul Sipligunj,Guntur Kaaram,https://c.saavncdn.com/000/Guntur-Kaaram-Telugu-2023-20240126145901-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/10/audio_5b667e5bb3.mp3?filename=electronic-future-beats-117997.mp3,151,2023,
P69gDMpy,Enniyallo,KotiK. S. ChithraS.P. Balasubrahmanyam,Abbaigari Pelli,https://c.saavncdn.com/321/Abbaigari-Pelli-2000-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,250,2000,
SJf5HEs4,Nuvvunte Naa Jathagaa,A.R. RahmanSid SriramIssrath Quadhri,I - Manoharudu (Original Motion Picture Soundtrack),https://c.saavncdn.com/364/I-Manoharudu-Telugu-2014-20190914115023-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/03/23/audio_07b2a04be3.mp3?filename=order-99518.mp3,352,2014,
wI_6PzCY,Jennifer Lopez,Benny DayalPriya,Jalsa,https://c.saavncdn.com/903/Jalsa-2008-500x500.jpg,https://cdn.pixabay.com/download/audio/2022/02/07/audio_13f9618d7f.mp3?filename=whip-110235.mp3,259,2008,
